procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0  91848 471324 378840 3957384    0    0     0     0 1344  585 25  0 75  0  0 2023-04-02 08:05:24
 1  0  91848 471324 378848 3957384    0    0     0    16 1394  705 25  0 75  0  0 2023-04-02 08:05:25
 1  0  91848 471324 378848 3957384    0    0     0     0 1336  586 25  0 75  0  0 2023-04-02 08:05:26
 1  0  91848 473388 378848 3957380    0    0     0     0 1395  704 25  0 75  0  0 2023-04-02 08:05:27
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 473388 378848 3957380    0    0     0     0 1334  592 25  0 75  0  0 2023-04-02 08:05:28
 1  0  91848 473388 378848 3957380    0    0     0     0 1831 1581 25  0 75  0  0 2023-04-02 08:05:29
 1  0  91848 473388 378852 3957380    0    0     0    16 1350  605 25  0 75  0  0 2023-04-02 08:05:30
 1  0  91848 471356 378852 3957380    0    0     0     0 1393  707 25  0 75  0  0 2023-04-02 08:05:31
 1  0  91848 471356 378852 3957376    0    0     0     0 1520  915 25  0 75  0  0 2023-04-02 08:05:32
 1  0  91848 471356 378852 3957376    0    0     0     0 1445  784 25  0 75  0  0 2023-04-02 08:05:33
 1  0  91848 471356 378852 3957376    0    0     0     0 1400  705 25  0 75  0  0 2023-04-02 08:05:34
 1  0  91848 473420 378852 3957376    0    0     0    16 1348  616 25  0 75  0  0 2023-04-02 08:05:35
 1  0  91848 473420 378852 3957376    0    0     0     0 1355  600 25  0 75  0  0 2023-04-02 08:05:36
 1  0  91848 473420 378852 3957376    0    0     0     0 1340  593 25  0 75  0  0 2023-04-02 08:05:37
 1  0  91848 473420 378852 3957376    0    0     0     0 1759 1411 26  0 75  0  0 2023-04-02 08:05:38
 1  0  91848 473420 378852 3957376    0    0     0     0 1361  622 25  0 75  0  0 2023-04-02 08:05:39
 1  0  91848 473420 378852 3957376    0    0     0    16 1420  750 25  0 75  0  0 2023-04-02 08:05:40
 1  0  91848 471388 378852 3957384    0    0     0    32 1396  710 25  0 75  0  0 2023-04-02 08:05:41
 1  0  91848 471388 378852 3957388    0    0     0     0 1375  678 25  0 75  0  0 2023-04-02 08:05:42
 1  0  91848 471388 378852 3957388    0    0     0     0 1386  683 25  0 75  0  0 2023-04-02 08:05:43
 1  0  91848 471388 378852 3957388    0    0     0     0 1342  577 25  0 75  0  0 2023-04-02 08:05:44
 1  0  91848 471388 378856 3957388    0    0     0    32 1406  722 25  0 75  0  0 2023-04-02 08:05:45
 1  0  91848 471388 378856 3957388    0    0     0     0 1327  575 25  0 75  0  0 2023-04-02 08:05:46
 1  0  91848 471388 378856 3957388    0    0     0     0 1394  718 25  0 75  0  0 2023-04-02 08:05:47
 1  0  91848 473452 378856 3957388    0    0     0     0 1343  620 25  0 75  0  0 2023-04-02 08:05:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0  91848 473452 378856 3957388    0    0     0    12 1395  698 25  0 75  0  0 2023-04-02 08:05:49
 1  0  91848 473452 378864 3957384    0    0     0     4 1369  665 25  0 75  0  0 2023-04-02 08:05:50
 1  0  91848 471420 378864 3957384    0    0     0     0 1383  676 25  0 75  0  0 2023-04-02 08:05:51
 1  0  91848 471420 378864 3957384    0    0     0     0 1393  695 25  0 75  0  0 2023-04-02 08:05:52
 2  0  91848 471420 378864 3957384    0    0     0     0 1380  674 25  0 75  0  0 2023-04-02 08:05:53
 1  0  91848 471420 378864 3957384    0    0     0     0 1326  576 25  0 75  0  0 2023-04-02 08:05:54
 1  0  91848 471420 378872 3957380    0    0     0    16 2487 2928 25  1 74  0  0 2023-04-02 08:05:55
 1  0  91848 474964 378872 3957380    0    0     0     0 1622 1089 25  1 74  0  0 2023-04-02 08:05:56
 2  0  91848 474996 378872 3957380    0    0     0     0 1596 1089 25  0 75  0  0 2023-04-02 08:05:57
 2  0  91848 474240 378872 3957232    0    0     0     0 2159  953 39  1 60  0  0 2023-04-02 08:05:58
 2  0  91848 474240 378872 3957388    0    0     0     0 2414  566 50  0 50  0  0 2023-04-02 08:05:59
 2  0  91848 474240 378880 3957388    0    0     0    16 2707 1222 50  0 50  0  0 2023-04-02 08:06:00
 3  0  91848 474240 378880 3957388    0    0     0     0 2487  707 50  0 50  0  0 2023-04-02 08:06:01
 2  0  91848 474240 378880 3957388    0    0     0     0 2613  930 50  0 50  0  0 2023-04-02 08:06:02
 2  0  91848 474240 378880 3957388    0    0     0     0 2602  913 50  0 50  0  0 2023-04-02 08:06:03
 2  0  91848 474240 378880 3957392    0    0     0     0 2432  590 50  0 50  0  0 2023-04-02 08:06:04
 2  0  91848 474240 378888 3957396    0    0     0    16 2772 1372 50  0 50  0  0 2023-04-02 08:06:05
 3  0  91848 474240 378888 3957396    0    0     0     0 3060 1907 50  0 50  0  0 2023-04-02 08:06:06
 2  0  91848 474240 378888 3957396    0    0     0     0 2706 1182 50  0 50  0  0 2023-04-02 08:06:07
 2  0  91848 474240 378888 3957396    0    0     0     0 2878 1547 50  1 50  0  0 2023-04-02 08:06:08
 2  0  91848 474240 378888 3957396    0    0     0     0 1934 1243 30  0 69  0  0 2023-04-02 08:06:09
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
